sites.sitename,lat,lon,mean
Breitenbush Hot Springs 4,44.7894,-121.9945,161.55
Breitenbush Hot Springs 5,44.7723,-121.9007,211.6
Brindabella Range Eucalyptus pauciflora forest,-35.389722,148.803889,108.45
British Columbia Fluxnet Canada,49.85,-125.32,190.0
Broad Creek Memorial Reserve,39.68525,-76.252664,112.7
Brookhaven,40.83,-72.9,30.85
"Buchanan S.F., Sweet Root Natural Area",39.843137,-78.532878,110.1
Bukit Timah Primary CTFS-ForestGEO plot,1.35,103.78,167.5
Bukit Timah Secondary CTFS-ForestGEO plot,1.35,103.78,104.5
Burnham Brook,41.46667,-72.31667,9.3
Cajunuma,-4.12,-79.18,53.54
Caledon State Park,38.329529,-77.14784,181.3
Campbell River,49.85,-125.32,190.0
Campoe_2012_spoc research site in Sao Paulo Brazil,-22.96778,-48.82778,78.39999999999999
Canada - Atlantic Maritime,46.0,-66.0,87.0
Canada - Boreal Plains,54.0,-115.0,113.0
Canada - Eastern Boreal Shield,51.0,-82.0,67.0
Canada - Hudson Plains,56.0,-94.0,34.0
Canada - Mixedwood Plains,45.0,-77.0,113.0
Canada - Montane Cordillera,52.0,-118.0,107.0
Canada - Pacific Maritime,51.0,-125.0,80.0
Canada - Taiga Plains,58.0,-118.0,99.0
Canada - Western Boreal Shield,51.0,-99.0,33.0
Canada - Western Taiga Shield,59.0,-110.0,47.0
Canaima National Park,5.0,-61.0,140.83333333333334
Canal Flats mesic 1,50.1,-115.25,103.0
Canal Flats mesic 2,50.1,-115.25,150.28
Canal Flats xeric 1,50.1,-115.25,57.31
Canal Flats xeric 2,50.1,-115.25,55.92
Caopo,33.85,103.3,65.9
Cascade Head (1),45.05,-123.97,340.94
Cascade Head (1A),45.05,-123.97,57.74
Cascade Head 1,45.1024,-123.8816,48.73
Cascade Head 10,45.0679,-123.8882,451.16
Cascade Head 11,45.0819,-123.9038,562.9
Cascade Head 12,45.0445,-123.9007,538.34
Cascade Head 2,45.0974,-123.8972,42.3
Cascade Head 3,45.1122,-123.8841,38.01
Cascade Head 4,45.1122,-123.8841,205.07
Cascade Head 5,45.1122,-123.8841,99.77
Cascade Head 6,45.0894,-123.8816,110.84
Cascade Head 7,45.0894,-123.8807,201.49
Cascade Head 8,45.0894,-123.8807,267.57
Cascade Head 9,45.0699,-123.8949,279.72
Caxiuana Drought Control CAX-04,-1.72,-51.46,225.3
Caxiuana Tower CAX-06,-1.74,-51.46,170.9
Cehegin,38.1,-1.8,23.375
Central Finland,64.72,26.02,34.0
Central Highlands (cool temperate moist),-37.62,145.79,501.0
Central South Island NZ,-43.25,172.0,123.0
Chae_2011_avos research site in South Korea,37.75705,127.1532,112.5
Chamela 2 Middle,19.5,-105.02,40.8
Changbai,42.4,128.1,103.3
Changbai (cool temperate montane Asia),41.0,127.0,147.0
Changbai Mountain,42.4,128.1,143.6
Changbaishan 3,42.4,128.1,53.6
Changbaishan Larix 1,42.2,127.3,110.2
"Changbaishan Picea, Abies",42.4,128.1,106.8
"Changbaishan Populus, Betula",41.8,126.9,72.1
"Changbaishan, Larix 2",42.4,128.1,109.7
"Changbaishan, Larix 3",42.75,128.27,113.0
Changdu,31.1,97.1,53.5
Changjiaba,33.5,107.9,77.7
Cheko,10.93,103.4,191.0
Chi-Lan Mountain,24.58,121.42,43.8
Chibougamau EOBS,49.692,-74.342,45.0
Chile,-40.5,-73.5,142.0
Chuosixian,31.7,101.6,129.0
Cocoflux,-15.43,167.15,29.17
Cocoli CTFS-ForestGEO plot,8.9877,-79.6166,123.66666666666667
Collelongo,41.85,13.59,113.14
Conasauga River,34.91,-84.67,29.215
Cordillera de Piuchue,-42.5,-74.0,197.66666666666666
Coruche,39.13333,-8.316667,27.5
Coulissenhieb,50.15,11.87,119.75999999999999
Coweeta Hydrologic Laboratory,35.08,-83.43,74.975
Cuicateca,17.01667,-95.9,15.0
Cuieiras/C14,-2.58,-60.1,178.1
"Cumberland S.F., Rock Quarry",37.572573,-78.263619,153.8
DF49,49.87,-125.33,0.08
Dafeng,47.7,128.9,88.2
Dahai,43.3,129.7,74.2
Dahailin Larix,44.3,129.4,93.7
"Dahailin Picea, Abies",44.3,129.4,82.2
"Dahailin Populus, Betula",44.3,128.4,55.3
Dalongsi,38.7,100.0,83.73333333333333
"Dalu Cupressus, Sabina",33.59,103.57,48.2
"Dalu Picea, Abies 1",33.63,103.76,105.2
"Dalu Picea, Abies 10",33.6,103.33,94.9
"Dalu Picea, Abies 11",33.6,103.74,58.0
"Dalu Picea, Abies 12",32.6,103.76,92.0
"Dalu Picea, Abies 2",33.52,104.9,105.1
"Dalu Picea, Abies 3",33.57,103.67,94.3
"Dalu Picea, Abies 4",33.65,103.75,133.7
"Dalu Picea, Abies 5",33.52,103.76,70.2
"Dalu Picea, Abies 6",33.62,103.73,73.4
"Dalu Picea, Abies 7",33.67,103.77,78.8
"Dalu Picea, Abies 8",33.58,103.73,63.9
"Dalu Picea, Abies 9",33.3,103.75,90.4
"Dalu Populus, Betula 1",33.53,104.91,46.5
"Dalu Populus, Betula 2",33.57,103.69,61.7
Daofu,31.0,101.1,131.5
"Dashennongjia, Fangxian",32.0,110.7,54.8
"Dashennongjia, Xingshan",31.2,110.7,33.7
Daxing'anling 29yrs I,49.0,123.0,42.7
Daxing'anling 29yrs II,50.0,121.3,28.4
Daxing'anling 3,52.73,123.83,28.0
Daxing'anling 34yrs,52.2,121.8,20.9
Daxing'anling 4,52.73,123.83,30.0
Daxing'anling 5,52.73,123.83,93.0
Daxing'anling 54yrs,50.0,121.3,36.2
Daxing'anling 55yrs,52.2,121.8,27.8
Daxing'anling 6,52.2,120.8,56.9
Daxing'anling 7,52.5,124.5,25.0
Daxinganling,50.83,121.5,26.44
De Inslag Forest,51.31,4.52,83.98125
Deadman's Wash,35.43,-111.62,24.666666666666668
Deer Canyon Preserve Pinyon Juniper Woodland,34.36,-106.27,29.7
Deqin Larix,28.62,99.22,57.1
"Deqin Picea, Abies 1",28.18,98.96,234.3
"Deqin Picea, Abies 2",27.82,99.26,218.8
"Deqin Picea, Abies 3",28.62,98.65,132.7
"Deqin Picea, Abies 4",28.53,98.84,106.4
"Deqin Picea, Abies 5",28.0,99.15,166.6
"Deqin Picea, Abies 6",28.9,99.02,79.8
"Deqin Picea, Abies 7",27.82,99.14,191.4
Dingdong,27.9,101.2,56.8
Dinghushan Biosphere Reserve,23.175,112.5417,98.86666666666667
Doi Inthanon,18.5248,98.4965,285.0
Dooary,52.95,-7.25,61.62
Duke FACE,36.07,-79.1,51.28
Duke Forest,35.97,-79.1,124.5
Duke Forest Loblolly Pine,35.9782,-79.0942,51.28
Eastern Jamaica,18.0,-77.0,204.0
Ecological Benefit Monitoring Station,27.08333,112.3,30.6
Eerguna Larix,50.8,121.5,61.9
Eerguna Pinus sylvestris var. mongolica,50.8,121.5,47.9
"Eerguna, Hulunbeier",52.6,120.6,48.7
El Eden Ecological Reserve,21.21,-87.18222,31.0
El Ocote biosphere preserve,16.95583,-93.63056,60.814492753623185
Emigrant Butte 1,43.4364,-122.2439,7.44
Emigrant Butte 2,43.5015,-122.2083,5.15
Emigrant Butte 3,43.4169,-122.1608,63.55
Emigrant Butte 5,43.4263,-122.2342,266.66
Emigrant Butte 6,43.4949,-122.1896,403.24
Entre-Rios,-11.97,-38.12,0.72
Erastvere,57.13,26.93,109.6
Esperanza,-13.18,-71.59,64.9
Espirra,38.64,-8.6,44.57666666666666
Euskirchen_2006_cfia research site in Michigan USA,46.0,-88.0,2.1
Experimental Forest of Kangwon National University,37.78333,127.8,44.105000000000004
Eyerly-601,44.56,-121.5,4.67
Eyerly-602,44.58,-121.51,3.55
Eyerly-603,44.58,-121.5,6.17
Eyerly-604,44.56,-121.5,19.46
Eyerly-605,44.57,-121.52,0.86
Eyerly-606,44.58,-121.51,1.32
Eyerly-607,44.57,-121.54,43.6
Eyerly-608,44.6,-121.53,0.21
Eyerly-609,44.6,-121.53,8.34
Eyerly-610,44.57,-121.53,128.74
Eyerly-611,44.58,-121.54,31.72
Eyerly-612,44.59,-121.53,16.09
FLONA Tapajos Km 83,-3.0103,-54.5815,156.0
Fazenda Vitoria,-2.983,-47.533,9.666666666666666
Flakaliden C,64.12,19.45,10.815
Flambeau River State Forest,45.62333,-90.79667,2.71
Frazer old,39.9,-105.87,78.97
Frazer young,39.9,-105.87,57.29
"French Creek State Park, Mount Pleasure",40.196193,-75.781048,78.8
French Guiana,4.75,-53.0,155.0
Fuchu,34.4,132.516667,38.475
Fuhai,47.8,88.7,71.9
Fukeshan,52.7,122.0,49.1
Fusong,42.47,127.63,131.0
Fuyun 1,47.0,89.4,147.2
Fuyun 2,47.1,89.3,101.6
Fyedorovskoye,56.45,32.92,95.0
GSMNP-Noland Divide Watershed,35.57,-83.48,139.7
Gainesville,29.73,-82.16,35.336666666666666
Gemos (Weidenbrunnen 2),50.13,11.87,139.71
Gippsland,-37.28,149.15,310.0
Gjovik,60.8,10.48,32.06666666666667
Gongbujiangda,29.9,93.3,100.6
Gonghe,44.1,130.2,96.4
Gongliu,43.4,82.2,182.7
Gorakhpur_S_14,27.0,83.88,42.25
Gorakhpur_S_26,27.0,83.88,101.8
Gorakhpur_S_30,27.0,83.88,157.87
Gorakhpur_S_40,27.0,83.88,254.22
Gorakhpur_S_5,27.0,83.88,7.29
Gorakhpur_S_8,27.0,83.88,27.92
Gorakhpur_T_14,27.0,83.88,74.68
Gorakhpur_T_26,27.0,83.88,124.83
Gorakhpur_T_30,27.0,83.88,141.89
Gorakhpur_T_40,27.0,83.88,284.59
Gorakhpur_T_5,27.0,83.88,23.31
Gorakhpur_T_8,27.0,83.88,47.38
Grants Pass 1,42.4875,-123.2612,22.43
Grants Pass 2,42.4778,-123.2612,79.89
Grants Pass 3,42.4918,-123.2745,93.76
Grants Pass 4,42.4789,-123.3002,230.25
Grants Pass 5,42.4723,-123.2642,161.67
Grants Pass 6,42.4725,-123.2665,396.55
Great Smoky Mt.,35.67,-83.38,199.0
Great Smoky NP,35.57,-83.48,158.475
"Green Ridge S.F., Roby Ridge 1",39.598132,-78.441066,89.2
"Green Ridge S.F., Tunnel Hill",39.558133,-78.452574,115.8
"Green Ridge State Forest, Jacob's Road",39.603565,-78.500392,131.5
Gribskov,55.96,12.25,158.6
Gunpowder Falls State Park,39.423473,-76.434603,202.1
Gushan,26.0,119.3,88.5
Guyaflux,5.28,-52.91,218.375
H.J. Andrews,44.0,-122.5,353.252
HDF00,49.87,-125.28,0.0
HDF88,49.52,-124.9,0.01
Hainich,51.0792,10.453,204.76
Hami,42.8,93.1,116.8
Hanjiayuan,51.7,126.6,38.8
Harvard Forest-Prospect Hill,42.53,-72.18,181.0
Harvard Forest-Simes,42.53333,-72.18333,70.45
Harwood CarboAge Chronosequence,55.166667,-2.05,67.325
Haw River,36.0,-79.33,48.07
"Heihe Picea, Abies 1",33.55,104.55,127.2
"Heihe Picea, Abies 2",33.57,104.66,96.6
"Heihe Picea, Abies 3",33.67,104.04,117.9
"Heihe Picea, Abies 4",33.65,104.05,122.8
"Heihe Picea, Abies 5",33.68,104.03,105.8
"Heihe Picea, Abies 6",33.6,104.41,80.0
"Heihe Picea, Abies 7",33.63,104.05,88.9
Heishui,32.0,102.9,143.6
Hellion Rapids 1,44.399,-123.7799,27.48
Hellion Rapids 2,44.4465,-123.8595,97.76
Hellion Rapids 3,44.4213,-123.7759,111.21
Hellion Rapids 4,44.4758,-123.8605,237.82
Hellion Rapids 5,44.3983,-123.7938,332.64
Helsinki University Forestry Station,61.8,24.32,75.16666666666667
Hesse,48.67,7.07,54.29888888888889
Hestehaven,56.3,10.48,103.99
Hilo,19.84,-155.12,37.0
Honghuaerji,48.26,120.04,50.65
Horner Woods Game Refuge,38.970904,-80.477063,116.7
Hubbard Brook-W6,43.93,-71.75,94.95
Hubbard brook,44.0,-71.5,62.42
Huitong 2,26.8,109.5,168.0
Huma,51.7,126.6,32.0
Hwangmaesan Soopkakkugi Model Forest,35.48444,127.9711,42.82
Hyytiala Forestry Station,61.78,24.3,75.0
Hyytiala Scots Pine Chronosequence 12,61.85,24.283,2.45
Hyytiala Scots Pine Chronosequence 4,61.252778,24.202778,0.0
Hyytiala Scots Pine Chronosequence 40,61.85,24.283,53.35
Hyytiala Scots Pine Chronosequence 75,61.85,24.283,67.0
Illinois,37.52,-89.32,131.0
Ilomantsi 1,62.85,30.88,50.32
Ilomantsi 2,62.85,30.88,16.49
Ilomantsi 3,62.85,30.88,20.78
Ilomantsi 4,62.85,30.88,13.56
Ilomantsi Mekrijarvi,62.78,30.97,7.49
Indiana,39.83,-86.18,117.0
International Paper,-22.35,-46.96667,45.7
Irkutsk 1,53.0,103.0,55.535
Irkutsk 2,53.0,103.0,86.56
Irkutsk 3,53.0,103.0,69.555
Isagi_1994_csac research site in Kyoto Japan,35.0116,135.7681,52.3
Ispina Krakow,50.1,20.37,114.35
Itatinga,-23.03333,-48.63333,56.26666666666667
Ivan Frankivski 1,48.371,23.67,139.6
Ivan Frankivski 2,48.438,23.39,90.6
Jadraas,60.82,16.5,29.0
Jadraas C,60.82,16.5,6.47
Jadraas Class I,60.82,16.5,17.82
Jadraas irrigated + fertilized,60.82,16.5,31.47
Jarvselja,58.25,27.267,12.5
Jezeri,50.55,13.46,97.6
Jiagedaqi,50.4,124.0,26.1
Jiagedaqi Larix,50.4,124.0,47.0
Jianfengling 2,18.71,108.83,220.5
Jiangda 1,31.5,98.2,90.7
Jiangda 2,31.4,94.3,66.4
"Jilong Cupressus, Sabina",28.9,85.2,48.5
"Jilong Picea, Abies 1",28.9,85.2,109.6
"Jilong Picea, Abies 2",28.9,85.2,67.5
"Jilong Picea, Abies 3",27.9,85.9,111.1
Jimusa'er,44.0,89.1,111.9
Jingqu,29.0,101.5,100.0
Jiuduhe,40.35833,116.425,48.696
Jiulong,29.0,101.5,126.2
Jiuzhai,33.01,104.03,80.0
Joyce Kilmer-Slickrock Wilderness,35.35,-83.93,225.5
Juniper,44.29,-121.33,5.18
Kade,6.15,-0.92,111.73
Kambja,58.05,27.017,19.3
Kangasvaara,63.85,28.966667,81.0
Kenia KEN01,-16.0158,-62.7301,66.2
Kenia KEN02,-16.0158,-62.7301,68.4
Kenkeme-S200,62.22,129.17,50.66
Kenkeme-S25,62.22,129.17,9.96
Kenkeme-S5,62.22,129.17,0.3
Kennedy,28.6,-80.7,14.22
Kentucky,37.72,-83.8,165.0
Kissoko,-4.74,12.02,44.199999999999996
Koiwai,39.75,141.0,79.63
Kolli hill,11.2,78.3,130.6
Kondi,-4.35,11.75,10.725
Kongalund B,55.98,13.17,152.28
Kongalund S,55.98,13.17,144.76
Kooraste 1,57.983,29.67,40.4
Kukesu,43.2,81.8,184.6
Kuusamo,66.37,29.33,48.93
Kyoto,35.02,135.79,115.0
La Selva Biological Station.CARBONO project,10.423333,-84.021111,160.0
Lambir,4.1865,114.017,260.0
Lambir Hills National Park,4.2,114.03,272.4
Langarod,55.75,13.92,106.22
Langdan,34.0,107.3,109.4
"Langxian Picea, Abies",29.0,93.1,94.7
Langxian Pinus,29.0,93.1,58.6
Lavigne-cool,47.32,-71.1,88.7
Lavigne-midtransect,47.73,-68.15,73.2
Lavigne-warm,46.03,-66.38,56.0
Le Bray,44.72,-0.77,74.27
Lei-135+15,51.33,10.36,133.44
Lei-30,51.33,10.36,40.18
Lei-62,51.33,10.36,146.67
Lei-T-111,51.33,10.36,200.79
Leiwuqi,31.2,96.5,55.0
Leizi,47.0,129.0,37.0
Lewuchuan,28.8,103.0,281.3
Liangshui Larix,46.5,131.8,57.6
Liebu,27.9,91.9,105.4
"Lijiang Picea, Abies 1",26.8,100.2,89.9
"Lijiang Picea, Abies 2",26.95,99.5,115.6
"Lijiang Picea, Abies 3",27.02,99.62,125.0
"Lijiang Picea, Abies 4",27.1,99.44,163.8
"Lijiang Picea, Abies 5",27.17,99.57,192.9
Lijiang Pinus,27.32,99.57,119.2
Lingjiang 1,33.17,103.92,86.3
Lingjiang 2,33.38,104.1,62.2
Lingjiang 3,33.42,103.88,89.1
Lingjiang 4,33.47,103.53,89.5
Lingxia,27.0,118.9,101.0
Lingzhi,29.5,94.3,102.9
Linnebjer,55.73,13.3,94.47
Linzhi,29.7,94.1,145.2
Lithuania,55.42,26.02,75.0
Liujiang,29.7,103.2333,127.0
"Lixian Picea, Abies",31.4,103.1,130.9
"Lixian Populus, Betula",31.4,103.1,92.2
Longkang,33.23,103.7,85.2
Longzha 1,34.2,102.93,86.3
Longzha 2,34.17,102.82,67.8
Longzi,28.4,92.3,42.6
Loobos,52.16667,5.743889,42.6
Lookout Mountains 1,45.8708,-122.097,4.54
Lookout Mountains 2,45.849,-122.0274,83.95
Lookout Mountains 3,45.8596,-122.0736,73.07
Lookout Mountains 4,45.8141,-122.0101,116.76
Lookout Mountains 5,45.8344,-122.0899,343.5
Lookout Mountains 6,45.8464,-122.1093,444.45
Los Tuxtlas,18.58,-95.08,73.39166666666667
Lulang,29.8,94.7,118.3
Luo Site 1006.Deqin,28.18,98.9,92.1
Luo Site 1168.Shanxi 1,37.7,111.48,43.8
Luo Site 1327.Shanxi 2,36.75,112.48,39.1
Luo Site 1934.Leiboshan,28.3,103.4,78.7
Luo Site 1936.Dalu,33.2,104.2,52.0
Luo Site 1937 Mao'ergai,32.6,103.0,65.5
Luo Site 2069.Kuankuoshui,28.2,107.0,145.4
Luo Site 2073.Baizhiba,28.1,106.8,136.4
Luo Site 2075.Lengzhushan,26.3,108.0,79.7
Luo Site 2088.Mengguan,26.4,106.7,92.0
Luo Site 2312.Shiquan,33.0,108.2,68.2
Luo Site 2883.Shangchayu,28.7,96.7,141.8
Luo Site 3468.Wandashan 1,45.8,132.9,43.5
Luo Site 3470.Wandashan 3,46.8,134.0,56.6
Luo Site 3541.Hekou,25.7,110.0,165.5
Luo Site 3560.Muling,44.5,130.2,43.0
Luo Site 3631.Zhongdian,27.7,99.7,110.8
Luo Site 3770.Renyihe 2,43.3,128.2,79.6
Luo Site 3781.Wangqing,43.3,129.7,69.7
Luo Site 394.Jianghua,24.7,111.55,163.9
Luo Site 3975.Xinkou,26.1,117.4,234.7
Luo Site 3979.Shuibei,27.3,117.4,216.7
Luo Site 3983.Weiminsheshan,27.0,117.6,212.7
Luo Site 3992.Wanmujing,27.1,118.1,168.3
Luo Site 3995.Maodi,26.7,118.0,239.4
Luo Site 4005.Dabugang,27.1,117.3,104.5
Luo Site 4186.Hejiawan,29.3,110.1,83.0
Luo Site 4259.Pinglin,26.2,110.2,175.9
Luo Site 4263.Majiang,24.9,111.7,285.1
Luo Site 4441.Changbaishan 2,40.7,127.5,99.4
Luo Site 4491.Linjiang,41.8,126.9,68.3
Luo Site 4718.Karst Forest region,25.25,107.98,44.6
"Luo Site 4721.Xujiaba, Ailaoshan",24.53,101.0,170.9
Luo Site 4722.Heishiding 2,23.45,111.88,140.6
Luo Site 4723.Guangping,26.83,109.75,138.7
Luo Site 4724.Chayu,28.6,97.4,121.5
Luo Site 487.Tianzhu,27.1,109.02,118.8
Luo Site 5148.Changbaishan 1,42.4,128.1,82.4
Luo Site 709.Xishui,28.5,106.32,65.4
Luo Site 759.Ninglang 2,26.73,100.89,78.8
Luo Site 817.Ninglang 1,27.17,100.72,67.0
Luo Site 837.Jianchuan,26.23,99.56,98.3
Luo Site 843.Heqing,26.37,100.1,99.0
Luo Site 884.Dali,25.43,99.68,159.0
Luo Site 893.Eryuan,26.08,99.56,66.5
Luo Site 904.Huaping,26.45,101.19,91.7
Luo Site 925.Lijiang 3,27.38,99.44,47.9
Luo Site 934.Lijiang 2,27.17,99.44,187.9
Luo Site 938.Lijiang 4,27.17,100.23,92.2
Luo Site 950.Lijiang 1,27.02,100.35,84.1
Luo Site 977.Weixi 6,27.97,98.96,80.2
Luo Site 983.Weixi 7,27.53,99.32,112.1
"Luo Site Table 3-20.Baihe, Antu",42.42,128.2,115.5
Luo Site Table 3-20.Baishan,42.5,128.33,110.0
Luo Site Table 3-20.Chaihe,44.7,129.7,78.0
"Luo Site Table 3-20.Changbaishan, Baihe",42.4,128.1,93.2
Luo Site Table 3-20.Dahailin 1,44.3,128.5,62.1
Luo Site Table 3-20.Dahailin 2,44.3,129.4,84.3
Luo Site Table 3-20.Dumuhe,46.3,133.5,71.9
Luo Site Table 3-20.Leizi,47.0,129.0,37.1
"Luo Site Table 3-20.Liangshui, Donglin",46.5,131.8,65.9
Luo Site Table 3-20.Lushuihe,42.3,127.2,60.6
Luo Site Table 3-20.Renyihe 1,43.3,128.2,97.6
Luo Site Table 3-20.Wandashan 2,45.8,132.9,72.0
Luo Site Table 3-20.Wuying (Fenglinhe in Liu),48.1,129.3,75.5
Luo Site Table 3-20.Zhongxinshan,44.5,130.2,77.9
Luo Site Table 3-63 Limushan,19.23,109.82,246.3
Luolong,30.7,95.8,61.0
Luquillo 3,18.42,-65.92,224.0
Luquillo Experimental Forest/Bisley,18.3,-65.8,81.5
Luquillo Experimental Forest/Icacos,18.3,-65.8,91.0
Maerkang 1,32.0,102.6,167.1
Maerkang 2,31.9,102.2,117.1
Maerkang 3,31.8,102.2,179.8
Magog,45.25599,-72.15246,100.99
Maimai,-42.16,171.75,153.0
Majia,33.07,104.12,109.0
